month,category,area_code,area_name,n
2016-12-01,Robbery,E08000009,Trafford,27
2017-01-01,Robbery,E08000009,Trafford,19
2017-02-01,Robbery,E08000009,Trafford,22
2017-03-01,Robbery,E08000009,Trafford,25
2017-04-01,Robbery,E08000009,Trafford,51
2017-05-01,Robbery,E08000009,Trafford,33
2017-06-01,Robbery,E08000009,Trafford,34
2017-07-01,Robbery,E08000009,Trafford,25
2017-08-01,Robbery,E08000009,Trafford,35
2017-09-01,Robbery,E08000009,Trafford,40
2017-10-01,Robbery,E08000009,Trafford,28
2017-11-01,Robbery,E08000009,Trafford,33
2017-12-01,Robbery,E08000009,Trafford,35
