date,area_code,area_name,measure,confidence,rate
Apr 14-Mar 15,E08000009,Trafford,Unemployment rate - aged 16+,1.6,6.7
Jul 14-Jun 15,E08000009,Trafford,Unemployment rate - aged 16+,1.6,6.5
Oct 14-Sep 15,E08000009,Trafford,Unemployment rate - aged 16+,1.5,5.8
Jan 15-Dec 15,E08000009,Trafford,Unemployment rate - aged 16+,1.4,4.7
Apr 15-Mar 16,E08000009,Trafford,Unemployment rate - aged 16+,1.3,4.2
Jul 15-Jun 16,E08000009,Trafford,Unemployment rate - aged 16+,1.3,4
Oct 15-Sep 16,E08000009,Trafford,Unemployment rate - aged 16+,1.2,3.3
Jan 16-Dec 16,E08000009,Trafford,Unemployment rate - aged 16+,1.1,2.6
Apr 16-Mar 17,E08000009,Trafford,Unemployment rate - aged 16+,1.2,2.9
Jul 16-Jun 17,E08000009,Trafford,Unemployment rate - aged 16+,1.3,3.3
Oct 16-Sep 17,E08000009,Trafford,Unemployment rate - aged 16+,1.3,3.6
