date,area_code,area_name,count,rate
2015-01-01,E08000009,Trafford,2315,1.9
2015-02-01,E08000009,Trafford,2320,1.9
2015-03-01,E08000009,Trafford,2200,1.8
2015-04-01,E08000009,Trafford,2295,1.9
2015-05-01,E08000009,Trafford,2275,1.8
2015-06-01,E08000009,Trafford,2215,1.8
2015-07-01,E08000009,Trafford,2260,1.8
2015-08-01,E08000009,Trafford,2305,1.9
2015-09-01,E08000009,Trafford,2345,1.9
2015-10-01,E08000009,Trafford,2360,1.9
2015-11-01,E08000009,Trafford,2275,1.8
2015-12-01,E08000009,Trafford,2250,1.8
2016-01-01,E08000009,Trafford,2320,1.9
2016-02-01,E08000009,Trafford,2460,2
2016-03-01,E08000009,Trafford,2455,2
2016-04-01,E08000009,Trafford,2460,2
2016-05-01,E08000009,Trafford,2460,2
2016-06-01,E08000009,Trafford,2440,1.9
2016-07-01,E08000009,Trafford,2480,2
2016-08-01,E08000009,Trafford,2505,2
2016-09-01,E08000009,Trafford,2480,2
2016-10-01,E08000009,Trafford,2385,1.9
2016-11-01,E08000009,Trafford,2350,1.9
2016-12-01,E08000009,Trafford,2235,1.8
2017-01-01,E08000009,Trafford,2275,1.8
2017-02-01,E08000009,Trafford,2355,1.9
2017-03-01,E08000009,Trafford,2370,1.9
2017-04-01,E08000009,Trafford,2405,2
2017-05-01,E08000009,Trafford,2370,1.9
2017-06-01,E08000009,Trafford,2315,1.9
2017-07-01,E08000009,Trafford,2295,1.9
2017-08-01,E08000009,Trafford,2335,1.9
2017-09-01,E08000009,Trafford,2400,1.9
2017-10-01,E08000009,Trafford,2490,2
2017-11-01,E08000009,Trafford,2455,2
2017-12-01,E08000009,Trafford,2515,2
2018-01-01,E08000009,Trafford,2675,2.2
2018-02-01,E08000009,Trafford,2900,2.4
2018-03-01,E08000009,Trafford,2900,2.4
