date,area_name,area_code,measure,age,count,percent
March 2018,Bowdon,E36006407,Claimant count,55-64,10,18.2
March 2018,Broadheath,E36006408,Claimant count,55-64,10,8.7
March 2018,Brooklands,E36006409,Claimant count,55-64,15,23.1
March 2018,Bucklow-St Martins,E36006410,Claimant count,55-64,40,14.8
March 2018,Clifford,E36006411,Claimant count,55-64,50,14.9
March 2018,Davyhulme East,E36006412,Claimant count,55-64,15,17.6
March 2018,Davyhulme West,E36006413,Claimant count,55-64,20,22.2
March 2018,Flixton,E36006414,Claimant count,55-64,15,15.8
March 2018,Gorse Hill,E36006415,Claimant count,55-64,40,13.8
March 2018,Hale Barns,E36006416,Claimant count,55-64,5,14.3
March 2018,Hale Central,E36006417,Claimant count,55-64,10,22.2
March 2018,Longford,E36006418,Claimant count,55-64,40,15.7
March 2018,Priory,E36006419,Claimant count,55-64,15,15.8
March 2018,Sale Moor,E36006420,Claimant count,55-64,20,14.3
March 2018,St Mary's,E36006421,Claimant count,55-64,35,17.1
March 2018,Stretford,E36006422,Claimant count,55-64,30,12.8
March 2018,Timperley,E36006423,Claimant count,55-64,0,0
March 2018,Urmston,E36006424,Claimant count,55-64,20,16
March 2018,Village,E36006425,Claimant count,55-64,25,20
