area_name,n,population,rate,lq
Stretford,46,11451,4,1.86
Altrincham,39,12521,3.1,1.44
Gorse Hill,39,12422,3.1,1.45
Bucklow-St Martins,29,10482,2.8,1.28
Longford,35,12304,2.8,1.32
Davyhulme East,26,9739,2.7,1.24
Sale Moor,28,10723,2.6,1.21
Village,28,10912,2.6,1.19
Ashton upon Mersey,23,10066,2.3,1.06
Hale Central,24,10767,2.2,1.03
St Mary's,25,11895,2.1,0.97
Broadheath,28,13894,2,0.93
Clifford,25,12199,2,0.95
Davyhulme West,19,10042,1.9,0.88
Priory,22,11426,1.9,0.89
Hale Barns,16,10109,1.6,0.73
Flixton,16,10804,1.5,0.69
Urmston,15,11447,1.3,0.61
Brooklands,11,10692,1,0.48
Bowdon,8,9536,0.8,0.39
Timperley,5,11242,0.4,0.21
