area_name,n,population,rate
Stretford,46,11451,4
Altrincham,39,12521,3.1
Gorse Hill,39,12422,3.1
Bucklow-St Martins,29,10482,2.8
Longford,35,12304,2.8
Davyhulme East,26,9739,2.7
Sale Moor,28,10723,2.6
Village,28,10912,2.6
Ashton upon Mersey,23,10066,2.3
Hale Central,24,10767,2.2
St Mary's,25,11895,2.1
Broadheath,28,13894,2
Clifford,25,12199,2
Davyhulme West,19,10042,1.9
Priory,22,11426,1.9
Hale Barns,16,10109,1.6
Flixton,16,10804,1.5
Urmston,15,11447,1.3
Brooklands,11,10692,1
Bowdon,8,9536,0.8
Timperley,5,11242,0.4
Trafford,507,234673,2.2
Greater Manchester,8644,2782141,3.1
