month,category,area_code,area_name,n,percent
2017-12-01,Violence and sexual offences,E05000838,Urmston,31,57
2017-12-01,Violence and sexual offences,E05000827,Davyhulme West,28,54
2017-12-01,Violence and sexual offences,E05000823,Brooklands,14,47
2017-12-01,Violence and sexual offences,E05000837,Timperley,13,45
2017-12-01,Violence and sexual offences,E05000832,Longford,33,43
2017-12-01,Violence and sexual offences,E05000835,Sale Moor,23,41
2017-12-01,Violence and sexual offences,E05000824,Bucklow-St Martins,33,37
2017-12-01,Violence and sexual offences,E05000834,St Mary's,22,37
2017-12-01,Violence and sexual offences,E05000822,Broadheath,29,36
2017-12-01,Violence and sexual offences,E05000821,Bowdon,16,36
2017-12-01,Violence and sexual offences,E05000829,Gorse Hill,55,34
2017-12-01,Violence and sexual offences,E05000825,Clifford,32,34
2017-12-01,Violence and sexual offences,E05000836,Stretford,28,33
2017-12-01,Violence and sexual offences,E05000828,Flixton,10,33
2017-12-01,Violence and sexual offences,E05000833,Priory,31,30
2017-12-01,Violence and sexual offences,E05000819,Altrincham,34,29
2017-12-01,Violence and sexual offences,E05000830,Hale Barns,15,28
2017-12-01,Violence and sexual offences,E05000831,Hale Central,15,28
2017-12-01,Violence and sexual offences,E05000820,Ashton upon Mersey,12,27
2017-12-01,Violence and sexual offences,E05000839,Village,12,20
2017-12-01,Violence and sexual offences,E05000826,Davyhulme East,26,17
2017-12-01,Violence and sexual offences,E08000009,Trafford,512,34
2017-12-01,Violence and sexual offences,E47000001,Greater Manchester,8773,33
