month,n
2016-11-01,153
2016-12-01,192
2017-01-01,171
2017-02-01,163
2017-03-01,148
2017-04-01,143
2017-05-01,150
2017-06-01,171
2017-07-01,176
2017-08-01,150
2017-09-01,129
2017-10-01,142
2017-11-01,137
