ageband,sex,mode,n,percent
0-4,Female,Car,2,0.003766478342749529
0-4,Male,Car,3,0.005649717514124294
10-14,Female,Car,3,0.005649717514124294
10-14,Male,Car,2,0.003766478342749529
15-19,Female,Car,8,0.015065913370998116
15-19,Male,Car,9,0.01694915254237288
20-24,Female,Car,15,0.02824858757062147
20-24,Male,Car,11,0.02071563088512241
25-29,Female,Car,10,0.018832391713747645
25-29,Male,Car,5,0.009416195856873822
30-34,Female,Car,6,0.011299435028248588
30-34,Male,Car,6,0.011299435028248588
35-39,Female,Car,8,0.015065913370998116
35-39,Male,Car,8,0.015065913370998116
40-44,Female,Car,8,0.015065913370998116
40-44,Male,Car,4,0.007532956685499058
45-49,Female,Car,8,0.015065913370998116
45-49,Male,Car,5,0.009416195856873822
5-9,Female,Car,4,0.007532956685499058
5-9,Male,Car,5,0.009416195856873822
50-54,Female,Car,7,0.013182674199623353
50-54,Male,Car,3,0.005649717514124294
55-59,Female,Car,6,0.011299435028248588
55-59,Male,Car,2,0.003766478342749529
60-64,Female,Car,2,0.003766478342749529
60-64,Male,Car,1,0.0018832391713747645
65-69,Female,Car,4,0.007532956685499058
65-69,Male,Car,1,0.0018832391713747645
70-74,Female,Car,1,0.0018832391713747645
70-74,Male,Car,1,0.0018832391713747645
75-79,Female,Car,1,0.0018832391713747645
75-79,Male,Car,0,0
80-84,Female,Car,1,0.0018832391713747645
80-84,Male,Car,2,0.003766478342749529
85-89,Female,Car,1,0.0018832391713747645
85-89,Male,Car,0,0
0-4,Female,Other,0,0
0-4,Male,Other,0,0
10-14,Female,Other,0,0
10-14,Male,Other,0,0
15-19,Female,Other,1,0.0018832391713747645
15-19,Male,Other,0,0
20-24,Female,Other,0,0
20-24,Male,Other,1,0.0018832391713747645
25-29,Female,Other,0,0
25-29,Male,Other,0,0
30-34,Female,Other,0,0
30-34,Male,Other,0,0
35-39,Female,Other,0,0
35-39,Male,Other,1,0.0018832391713747645
40-44,Female,Other,0,0
40-44,Male,Other,1,0.0018832391713747645
45-49,Female,Other,0,0
45-49,Male,Other,1,0.0018832391713747645
5-9,Female,Other,0,0
5-9,Male,Other,0,0
50-54,Female,Other,1,0.0018832391713747645
50-54,Male,Other,4,0.007532956685499058
55-59,Female,Other,1,0.0018832391713747645
55-59,Male,Other,0,0
60-64,Female,Other,0,0
60-64,Male,Other,0,0
65-69,Female,Other,0,0
65-69,Male,Other,1,0.0018832391713747645
70-74,Female,Other,0,0
70-74,Male,Other,0,0
75-79,Female,Other,0,0
75-79,Male,Other,0,0
80-84,Female,Other,0,0
80-84,Male,Other,0,0
85-89,Female,Other,0,0
85-89,Male,Other,0,0
0-4,Female,Pedal Cycle,0,0
0-4,Male,Pedal Cycle,0,0
10-14,Female,Pedal Cycle,0,0
10-14,Male,Pedal Cycle,6,0.011299435028248588
15-19,Female,Pedal Cycle,0,0
15-19,Male,Pedal Cycle,3,0.005649717514124294
20-24,Female,Pedal Cycle,2,0.003766478342749529
20-24,Male,Pedal Cycle,4,0.007532956685499058
25-29,Female,Pedal Cycle,0,0
25-29,Male,Pedal Cycle,1,0.0018832391713747645
30-34,Female,Pedal Cycle,1,0.0018832391713747645
30-34,Male,Pedal Cycle,6,0.011299435028248588
35-39,Female,Pedal Cycle,0,0
35-39,Male,Pedal Cycle,4,0.007532956685499058
40-44,Female,Pedal Cycle,1,0.0018832391713747645
40-44,Male,Pedal Cycle,2,0.003766478342749529
45-49,Female,Pedal Cycle,0,0
45-49,Male,Pedal Cycle,1,0.0018832391713747645
5-9,Female,Pedal Cycle,0,0
5-9,Male,Pedal Cycle,0,0
50-54,Female,Pedal Cycle,0,0
50-54,Male,Pedal Cycle,2,0.003766478342749529
55-59,Female,Pedal Cycle,0,0
55-59,Male,Pedal Cycle,1,0.0018832391713747645
60-64,Female,Pedal Cycle,1,0.0018832391713747645
60-64,Male,Pedal Cycle,0,0
65-69,Female,Pedal Cycle,0,0
