day,hour,mode,n
Wed,11,Pedal Cycle,0
Wed,11,Pedestrian,1
Wed,11,Powered 2 Wheeler,0
Wed,11,Other,1
Wed,11,Total,2
Wed,12,Car,0
Wed,12,Pedal Cycle,1
Wed,12,Pedestrian,0
Wed,12,Powered 2 Wheeler,0
Wed,12,Other,0
Wed,12,Total,1
Wed,13,Car,0
Wed,13,Pedal Cycle,1
Wed,13,Pedestrian,0
Wed,13,Powered 2 Wheeler,0
Wed,13,Other,0
Wed,13,Total,1
Wed,14,Car,1
Wed,14,Pedal Cycle,0
Wed,14,Pedestrian,1
Wed,14,Powered 2 Wheeler,0
Wed,14,Other,1
Wed,14,Total,3
Wed,15,Car,2
Wed,15,Pedal Cycle,0
Wed,15,Pedestrian,1
Wed,15,Powered 2 Wheeler,1
Wed,15,Other,0
Wed,15,Total,4
Wed,16,Car,1
Wed,16,Pedal Cycle,0
Wed,16,Pedestrian,0
Wed,16,Powered 2 Wheeler,1
Wed,16,Other,0
Wed,16,Total,2
Wed,17,Car,3
Wed,17,Pedal Cycle,1
Wed,17,Pedestrian,0
Wed,17,Powered 2 Wheeler,0
Wed,17,Other,0
Wed,17,Total,4
Wed,18,Car,0
Wed,18,Pedal Cycle,0
Wed,18,Pedestrian,0
Wed,18,Powered 2 Wheeler,0
Wed,18,Other,0
Wed,18,Total,0
Wed,19,Car,0
Wed,19,Pedal Cycle,0
Wed,19,Pedestrian,1
Wed,19,Powered 2 Wheeler,0
Wed,19,Other,0
Wed,19,Total,1
Wed,20,Car,0
Wed,20,Pedal Cycle,1
Wed,20,Pedestrian,1
Wed,20,Powered 2 Wheeler,0
Wed,20,Other,1
Wed,20,Total,3
Wed,21,Car,0
Wed,21,Pedal Cycle,0
Wed,21,Pedestrian,0
Wed,21,Powered 2 Wheeler,0
Wed,21,Other,0
Wed,21,Total,0
Wed,22,Car,0
Wed,22,Pedal Cycle,0
Wed,22,Pedestrian,0
Wed,22,Powered 2 Wheeler,0
Wed,22,Other,0
Wed,22,Total,0
Wed,23,Car,0
Wed,23,Pedal Cycle,0
Wed,23,Pedestrian,0
Wed,23,Powered 2 Wheeler,0
Wed,23,Other,0
Wed,23,Total,0
Wed,24,Car,0
Wed,24,Pedal Cycle,0
Wed,24,Pedestrian,0
Wed,24,Powered 2 Wheeler,0
Wed,24,Other,0
Wed,24,Total,0
