day,hour,mode,n
Sun,3,Pedestrian,0
Sun,3,Powered 2 Wheeler,0
Sun,3,Other,0
Sun,3,Total,1
Sun,4,Car,0
Sun,4,Pedal Cycle,0
Sun,4,Pedestrian,0
Sun,4,Powered 2 Wheeler,0
Sun,4,Other,0
Sun,4,Total,0
Sun,5,Car,0
Sun,5,Pedal Cycle,0
Sun,5,Pedestrian,0
Sun,5,Powered 2 Wheeler,0
Sun,5,Other,0
Sun,5,Total,0
Sun,6,Car,0
Sun,6,Pedal Cycle,0
Sun,6,Pedestrian,0
Sun,6,Powered 2 Wheeler,0
Sun,6,Other,1
Sun,6,Total,1
Sun,7,Car,0
Sun,7,Pedal Cycle,1
Sun,7,Pedestrian,0
Sun,7,Powered 2 Wheeler,0
Sun,7,Other,0
Sun,7,Total,1
Sun,8,Car,0
Sun,8,Pedal Cycle,0
Sun,8,Pedestrian,0
Sun,8,Powered 2 Wheeler,0
Sun,8,Other,0
Sun,8,Total,0
Sun,9,Car,1
Sun,9,Pedal Cycle,1
Sun,9,Pedestrian,0
Sun,9,Powered 2 Wheeler,0
Sun,9,Other,0
Sun,9,Total,2
Sun,10,Car,0
Sun,10,Pedal Cycle,0
Sun,10,Pedestrian,1
Sun,10,Powered 2 Wheeler,0
Sun,10,Other,0
Sun,10,Total,1
Sun,11,Car,1
Sun,11,Pedal Cycle,1
Sun,11,Pedestrian,2
Sun,11,Powered 2 Wheeler,0
Sun,11,Other,0
Sun,11,Total,4
Sun,12,Car,1
Sun,12,Pedal Cycle,0
Sun,12,Pedestrian,0
Sun,12,Powered 2 Wheeler,0
Sun,12,Other,0
Sun,12,Total,1
Sun,13,Car,3
Sun,13,Pedal Cycle,0
Sun,13,Pedestrian,0
Sun,13,Powered 2 Wheeler,0
Sun,13,Other,0
Sun,13,Total,3
Sun,14,Car,1
Sun,14,Pedal Cycle,0
Sun,14,Pedestrian,2
Sun,14,Powered 2 Wheeler,0
Sun,14,Other,0
Sun,14,Total,3
Sun,15,Car,0
Sun,15,Pedal Cycle,0
Sun,15,Pedestrian,0
Sun,15,Powered 2 Wheeler,0
Sun,15,Other,0
Sun,15,Total,0
Sun,16,Car,1
Sun,16,Pedal Cycle,0
Sun,16,Pedestrian,0
Sun,16,Powered 2 Wheeler,1
Sun,16,Other,0
Sun,16,Total,2
Sun,17,Car,3
Sun,17,Pedal Cycle,0
Sun,17,Pedestrian,0
Sun,17,Powered 2 Wheeler,0
Sun,17,Other,0
Sun,17,Total,3
Sun,18,Car,2
Sun,18,Pedal Cycle,1
Sun,18,Pedestrian,0
Sun,18,Powered 2 Wheeler,0
Sun,18,Other,0
Sun,18,Total,3
Sun,19,Car,0
Sun,19,Pedal Cycle,0
Sun,19,Pedestrian,0
Sun,19,Powered 2 Wheeler,0
Sun,19,Other,0
Sun,19,Total,0
Sun,20,Car,0
Sun,20,Pedal Cycle,0
Sun,20,Pedestrian,0
Sun,20,Powered 2 Wheeler,0
Sun,20,Other,0
Sun,20,Total,0
Sun,21,Car,0
Sun,21,Pedal Cycle,0
Sun,21,Pedestrian,0
Sun,21,Powered 2 Wheeler,0
Sun,21,Other,0
Sun,21,Total,0
Sun,22,Car,1
Sun,22,Pedal Cycle,0
Sun,22,Pedestrian,0
Sun,22,Powered 2 Wheeler,0
Sun,22,Other,0
Sun,22,Total,1
Sun,23,Car,0
Sun,23,Pedal Cycle,0
Sun,23,Pedestrian,0
Sun,23,Powered 2 Wheeler,0
Sun,23,Other,0
Sun,23,Total,0
Sun,24,Car,0
Sun,24,Pedal Cycle,0
Sun,24,Pedestrian,0
Sun,24,Powered 2 Wheeler,0
Sun,24,Other,0
Sun,24,Total,0
Thu,0,Car,0
Thu,0,Pedal Cycle,0
Thu,0,Pedestrian,0
Thu,0,Powered 2 Wheeler,0
Thu,0,Other,0
Thu,0,Total,0
Thu,1,Car,0
Thu,1,Pedal Cycle,0
Thu,1,Pedestrian,0
Thu,1,Powered 2 Wheeler,0
Thu,1,Other,0
Thu,1,Total,0
Thu,2,Car,0
Thu,2,Pedal Cycle,0
Thu,2,Pedestrian,0
Thu,2,Powered 2 Wheeler,0
Thu,2,Other,0
Thu,2,Total,0
Thu,3,Car,1
Thu,3,Pedal Cycle,0
Thu,3,Pedestrian,0
Thu,3,Powered 2 Wheeler,0
Thu,3,Other,0
Thu,3,Total,1
Thu,4,Car,0
Thu,4,Pedal Cycle,0
Thu,4,Pedestrian,0
Thu,4,Powered 2 Wheeler,0
Thu,4,Other,0
Thu,4,Total,0
Thu,5,Car,0
Thu,5,Pedal Cycle,0
Thu,5,Pedestrian,0
Thu,5,Powered 2 Wheeler,1
Thu,5,Other,0
Thu,5,Total,1
Thu,6,Car,0
Thu,6,Pedal Cycle,0
Thu,6,Pedestrian,0
Thu,6,Powered 2 Wheeler,1
Thu,6,Other,0
Thu,6,Total,1
Thu,7,Car,1
Thu,7,Pedal Cycle,0
Thu,7,Pedestrian,1
Thu,7,Powered 2 Wheeler,0
Thu,7,Other,0
Thu,7,Total,2
Thu,8,Car,2
Thu,8,Pedal Cycle,0
Thu,8,Pedestrian,0
Thu,8,Powered 2 Wheeler,1
Thu,8,Other,0
Thu,8,Total,3
Thu,9,Car,0
Thu,9,Pedal Cycle,1
Thu,9,Pedestrian,0
Thu,9,Powered 2 Wheeler,0
Thu,9,Other,0
Thu,9,Total,1
Thu,10,Car,0
Thu,10,Pedal Cycle,1
Thu,10,Pedestrian,1
Thu,10,Powered 2 Wheeler,0
Thu,10,Other,0
Thu,10,Total,2
Thu,11,Car,1
Thu,11,Pedal Cycle,0
Thu,11,Pedestrian,1
Thu,11,Powered 2 Wheeler,0
Thu,11,Other,0
Thu,11,Total,2
Thu,12,Car,1
Thu,12,Pedal Cycle,0
Thu,12,Pedestrian,0
Thu,12,Powered 2 Wheeler,0
Thu,12,Other,0
Thu,12,Total,1
Thu,13,Car,0
Thu,13,Pedal Cycle,0
Thu,13,Pedestrian,0
Thu,13,Powered 2 Wheeler,0
Thu,13,Other,0
Thu,13,Total,0
Thu,14,Car,1
Thu,14,Pedal Cycle,0
Thu,14,Pedestrian,0
Thu,14,Powered 2 Wheeler,0
Thu,14,Other,0
Thu,14,Total,1
Thu,15,Car,0
Thu,15,Pedal Cycle,0
Thu,15,Pedestrian,1
Thu,15,Powered 2 Wheeler,0
Thu,15,Other,0
Thu,15,Total,1
Thu,16,Car,1
Thu,16,Pedal Cycle,1
Thu,16,Pedestrian,0
Thu,16,Powered 2 Wheeler,0
Thu,16,Other,0
Thu,16,Total,2
Thu,17,Car,0
Thu,17,Pedal Cycle,0
Thu,17,Pedestrian,0
Thu,17,Powered 2 Wheeler,1
Thu,17,Other,0
Thu,17,Total,1
Thu,18,Car,0
Thu,18,Pedal Cycle,1
Thu,18,Pedestrian,1
Thu,18,Powered 2 Wheeler,0
Thu,18,Other,0
Thu,18,Total,2
Thu,19,Car,0
Thu,19,Pedal Cycle,1
Thu,19,Pedestrian,0
Thu,19,Powered 2 Wheeler,0
Thu,19,Other,0
Thu,19,Total,1
Thu,20,Car,0
Thu,20,Pedal Cycle,0
Thu,20,Pedestrian,0
Thu,20,Powered 2 Wheeler,0
Thu,20,Other,0
Thu,20,Total,0
Thu,21,Car,0
Thu,21,Pedal Cycle,0
Thu,21,Pedestrian,0
Thu,21,Powered 2 Wheeler,0
Thu,21,Other,0
Thu,21,Total,0
Thu,22,Car,0
Thu,22,Pedal Cycle,0
Thu,22,Pedestrian,0
Thu,22,Powered 2 Wheeler,0
Thu,22,Other,0
Thu,22,Total,0
Thu,23,Car,1
Thu,23,Pedal Cycle,0
Thu,23,Pedestrian,0
Thu,23,Powered 2 Wheeler,0
Thu,23,Other,0
Thu,23,Total,1
Thu,24,Car,0
Thu,24,Pedal Cycle,0
Thu,24,Pedestrian,0
Thu,24,Powered 2 Wheeler,0
Thu,24,Other,0
Thu,24,Total,0
Tue,0,Car,0
Tue,0,Pedal Cycle,0
Tue,0,Pedestrian,0
Tue,0,Powered 2 Wheeler,0
Tue,0,Other,0
Tue,0,Total,0
Tue,1,Car,0
Tue,1,Pedal Cycle,0
Tue,1,Pedestrian,0
Tue,1,Powered 2 Wheeler,0
Tue,1,Other,0
Tue,1,Total,0
Tue,2,Car,0
Tue,2,Pedal Cycle,0
Tue,2,Pedestrian,0
Tue,2,Powered 2 Wheeler,0
Tue,2,Other,0
Tue,2,Total,0
Tue,3,Car,0
Tue,3,Pedal Cycle,0
Tue,3,Pedestrian,0
Tue,3,Powered 2 Wheeler,0
Tue,3,Other,0
Tue,3,Total,0
Tue,4,Car,0
Tue,4,Pedal Cycle,0
Tue,4,Pedestrian,0
Tue,4,Powered 2 Wheeler,0
Tue,4,Other,0
Tue,4,Total,0
Tue,5,Car,1
Tue,5,Pedal Cycle,0
Tue,5,Pedestrian,0
Tue,5,Powered 2 Wheeler,0
Tue,5,Other,0
Tue,5,Total,1
Tue,6,Car,0
Tue,6,Pedal Cycle,0
Tue,6,Pedestrian,0
Tue,6,Powered 2 Wheeler,0
Tue,6,Other,0
Tue,6,Total,0
Tue,7,Car,0
Tue,7,Pedal Cycle,0
Tue,7,Pedestrian,0
Tue,7,Powered 2 Wheeler,1
Tue,7,Other,1
Tue,7,Total,2
Tue,8,Car,2
Tue,8,Pedal Cycle,1
Tue,8,Pedestrian,1
Tue,8,Powered 2 Wheeler,0
Tue,8,Other,0
Tue,8,Total,4
Tue,9,Car,0
Tue,9,Pedal Cycle,0
Tue,9,Pedestrian,0
Tue,9,Powered 2 Wheeler,0
Tue,9,Other,0
Tue,9,Total,0
Tue,10,Car,1
Tue,10,Pedal Cycle,0
Tue,10,Pedestrian,0
Tue,10,Powered 2 Wheeler,0
Tue,10,Other,0
Tue,10,Total,1
Tue,11,Car,2
Tue,11,Pedal Cycle,0
Tue,11,Pedestrian,0
Tue,11,Powered 2 Wheeler,1
Tue,11,Other,0
Tue,11,Total,3
Tue,12,Car,0
Tue,12,Pedal Cycle,0
Tue,12,Pedestrian,0
Tue,12,Powered 2 Wheeler,0
Tue,12,Other,0
Tue,12,Total,0
Tue,13,Car,3
Tue,13,Pedal Cycle,0
Tue,13,Pedestrian,0
Tue,13,Powered 2 Wheeler,0
Tue,13,Other,0
Tue,13,Total,3
Tue,14,Car,0
Tue,14,Pedal Cycle,1
Tue,14,Pedestrian,0
Tue,14,Powered 2 Wheeler,0
Tue,14,Other,0
Tue,14,Total,1
Tue,15,Car,1
Tue,15,Pedal Cycle,0
Tue,15,Pedestrian,0
Tue,15,Powered 2 Wheeler,0
Tue,15,Other,0
Tue,15,Total,1
Tue,16,Car,0
Tue,16,Pedal Cycle,0
Tue,16,Pedestrian,0
Tue,16,Powered 2 Wheeler,0
Tue,16,Other,0
Tue,16,Total,0
Tue,17,Car,1
Tue,17,Pedal Cycle,0
Tue,17,Pedestrian,0
Tue,17,Powered 2 Wheeler,0
Tue,17,Other,0
Tue,17,Total,1
Tue,18,Car,0
Tue,18,Pedal Cycle,0
Tue,18,Pedestrian,2
Tue,18,Powered 2 Wheeler,0
Tue,18,Other,0
Tue,18,Total,2
Tue,19,Car,2
Tue,19,Pedal Cycle,0
Tue,19,Pedestrian,1
Tue,19,Powered 2 Wheeler,1
Tue,19,Other,0
Tue,19,Total,4
Tue,20,Car,0
Tue,20,Pedal Cycle,1
Tue,20,Pedestrian,0
Tue,20,Powered 2 Wheeler,0
Tue,20,Other,0
Tue,20,Total,1
Tue,21,Car,0
Tue,21,Pedal Cycle,0
Tue,21,Pedestrian,0
Tue,21,Powered 2 Wheeler,0
Tue,21,Other,0
Tue,21,Total,0
Tue,22,Car,1
Tue,22,Pedal Cycle,0
Tue,22,Pedestrian,0
Tue,22,Powered 2 Wheeler,0
Tue,22,Other,0
Tue,22,Total,1
Tue,23,Car,0
Tue,23,Pedal Cycle,0
Tue,23,Pedestrian,0
Tue,23,Powered 2 Wheeler,0
Tue,23,Other,0
Tue,23,Total,0
Tue,24,Car,0
Tue,24,Pedal Cycle,0
Tue,24,Pedestrian,0
Tue,24,Powered 2 Wheeler,0
Tue,24,Other,0
Tue,24,Total,0
Wed,0,Car,0
Wed,0,Pedal Cycle,0
Wed,0,Pedestrian,0
Wed,0,Powered 2 Wheeler,0
Wed,0,Other,0
Wed,0,Total,0
Wed,1,Car,0
Wed,1,Pedal Cycle,0
Wed,1,Pedestrian,0
Wed,1,Powered 2 Wheeler,0
Wed,1,Other,0
Wed,1,Total,0
Wed,2,Car,0
Wed,2,Pedal Cycle,0
Wed,2,Pedestrian,0
Wed,2,Powered 2 Wheeler,0
Wed,2,Other,0
Wed,2,Total,0
Wed,3,Car,0
Wed,3,Pedal Cycle,0
Wed,3,Pedestrian,0
Wed,3,Powered 2 Wheeler,0
Wed,3,Other,0
Wed,3,Total,0
Wed,4,Car,0
Wed,4,Pedal Cycle,0
Wed,4,Pedestrian,0
Wed,4,Powered 2 Wheeler,0
Wed,4,Other,0
Wed,4,Total,0
Wed,5,Car,0
Wed,5,Pedal Cycle,0
Wed,5,Pedestrian,0
Wed,5,Powered 2 Wheeler,0
Wed,5,Other,0
Wed,5,Total,0
Wed,6,Car,0
Wed,6,Pedal Cycle,1
Wed,6,Pedestrian,0
Wed,6,Powered 2 Wheeler,0
Wed,6,Other,0
Wed,6,Total,1
Wed,7,Car,1
Wed,7,Pedal Cycle,1
Wed,7,Pedestrian,0
Wed,7,Powered 2 Wheeler,0
Wed,7,Other,0
Wed,7,Total,2
Wed,8,Car,0
Wed,8,Pedal Cycle,0
Wed,8,Pedestrian,0
Wed,8,Powered 2 Wheeler,0
Wed,8,Other,0
Wed,8,Total,0
Wed,9,Car,1
Wed,9,Pedal Cycle,0
Wed,9,Pedestrian,0
Wed,9,Powered 2 Wheeler,0
Wed,9,Other,0
Wed,9,Total,1
Wed,10,Car,1
Wed,10,Pedal Cycle,0
Wed,10,Pedestrian,0
Wed,10,Powered 2 Wheeler,0
Wed,10,Other,0
Wed,10,Total,1
Wed,11,Car,0
