month,category,area_code,area_name,observed,trend
2014-12-01,Biycle theft,E08000009,Trafford,21,37.887670710967114
2015-01-01,Biycle theft,E08000009,Trafford,27,37.22576577537343
2015-02-01,Biycle theft,E08000009,Trafford,40,36.56386083977976
2015-03-01,Biycle theft,E08000009,Trafford,19,35.89935880172173
2015-04-01,Biycle theft,E08000009,Trafford,42,35.234856763663714
2015-05-01,Biycle theft,E08000009,Trafford,28,34.54363517140934
2015-06-01,Biycle theft,E08000009,Trafford,40,33.85241357915497
2015-07-01,Biycle theft,E08000009,Trafford,38,33.09118760001705
2015-08-01,Biycle theft,E08000009,Trafford,43,32.32996162087913
2015-09-01,Biycle theft,E08000009,Trafford,50,31.59068688115815
2015-10-01,Biycle theft,E08000009,Trafford,41,30.851412141437162
2015-11-01,Biycle theft,E08000009,Trafford,22,30.225599034241963
2015-12-01,Biycle theft,E08000009,Trafford,12,29.599785927046764
2016-01-01,Biycle theft,E08000009,Trafford,22,28.85136106954146
2016-02-01,Biycle theft,E08000009,Trafford,15,28.102936212036155
2016-03-01,Biycle theft,E08000009,Trafford,25,27.685619697555197
2016-04-01,Biycle theft,E08000009,Trafford,26,27.268303183074234
2016-05-01,Biycle theft,E08000009,Trafford,25,27.77441025024197
2016-06-01,Biycle theft,E08000009,Trafford,32,28.28051731740971
2016-07-01,Biycle theft,E08000009,Trafford,38,28.99625891061395
2016-08-01,Biycle theft,E08000009,Trafford,29,29.71200050381819
2016-09-01,Biycle theft,E08000009,Trafford,29,30.380460083496637
2016-10-01,Biycle theft,E08000009,Trafford,49,31.04891966317508
2016-11-01,Biycle theft,E08000009,Trafford,40,32.03332961184641
2016-12-01,Biycle theft,E08000009,Trafford,24,33.01773956051775
2017-01-01,Biycle theft,E08000009,Trafford,24,33.907419265511365
2017-02-01,Biycle theft,E08000009,Trafford,20,34.79709897050498
2017-03-01,Biycle theft,E08000009,Trafford,30,34.43348274225707
2017-04-01,Biycle theft,E08000009,Trafford,29,34.069866514009156
2017-05-01,Biycle theft,E08000009,Trafford,39,33.6464258209739
2017-06-01,Biycle theft,E08000009,Trafford,53,33.22298512793864
2017-07-01,Biycle theft,E08000009,Trafford,51,32.800576091417355
2017-08-01,Biycle theft,E08000009,Trafford,36,32.37816705489607
2017-09-01,Biycle theft,E08000009,Trafford,31,31.87973729499855
2017-10-01,Biycle theft,E08000009,Trafford,32,31.381307535101033
2017-11-01,Biycle theft,E08000009,Trafford,33,30.799447844294697
