area_name,category,n,percent
Brooklands,Vehicle crime,8,17
Timperley,Vehicle crime,4,16
Hale Barns,Vehicle crime,7,15
Urmston,Vehicle crime,7,13
Gorse Hill,Vehicle crime,13,11
Hale Central,Vehicle crime,6,10
Village,Vehicle crime,6,9
Bowdon,Vehicle crime,3,9
Sale Moor,Vehicle crime,5,8
Clifford,Vehicle crime,5,6
Ashton upon Mersey,Vehicle crime,4,6
Davyhulme East,Vehicle crime,7,5
Stretford,Vehicle crime,6,5
St Mary's,Vehicle crime,3,5
Flixton,Vehicle crime,2,5
Altrincham,Vehicle crime,5,4
Bucklow-St Martins,Vehicle crime,4,4
Longford,Vehicle crime,4,4
Broadheath,Vehicle crime,3,4
Priory,Vehicle crime,3,3
Trafford,Vehicle crime,105,7
Greater Manchester,Vehicle crime,2785,10
