month,category,area_code,area_name,n,population,rate
2017-12-01,Vehicle crime,E05000829,Gorse Hill,18,12422,1.4
2017-12-01,Vehicle crime,E05000836,Stretford,11,11451,1
2017-12-01,Vehicle crime,E05000839,Village,9,10912,0.8
2017-12-01,Vehicle crime,E05000825,Clifford,9,12199,0.7
2017-12-01,Vehicle crime,E05000826,Davyhulme East,6,9739,0.6
2017-12-01,Vehicle crime,E05000831,Hale Central,5,10767,0.5
2017-12-01,Vehicle crime,E05000821,Bowdon,4,9536,0.4
2017-12-01,Vehicle crime,E05000830,Hale Barns,4,10109,0.4
2017-12-01,Vehicle crime,E05000835,Sale Moor,4,10723,0.4
2017-12-01,Vehicle crime,E05000834,St Mary's,5,11895,0.4
2017-12-01,Vehicle crime,E05000820,Ashton upon Mersey,3,10066,0.3
2017-12-01,Vehicle crime,E05000824,Bucklow-St Martins,3,10482,0.3
2017-12-01,Vehicle crime,E05000833,Priory,3,11426,0.3
2017-12-01,Vehicle crime,E05000838,Urmston,4,11447,0.3
2017-12-01,Vehicle crime,E05000819,Altrincham,3,12521,0.2
2017-12-01,Vehicle crime,E05000828,Flixton,2,10804,0.2
2017-12-01,Vehicle crime,E05000832,Longford,3,12304,0.2
2017-12-01,Vehicle crime,E05000837,Timperley,2,11242,0.2
2017-12-01,Vehicle crime,E05000822,Broadheath,1,13894,0.1
2017-12-01,Vehicle crime,E05000823,Brooklands,1,10692,0.1
2017-12-01,Vehicle crime,E08000009,Trafford,100,234673,0.4
2017-12-01,Vehicle crime,E47000001,Greater Manchester,2346,2782141,0.8
