AreaName,Sex,Timeperiod,Value
Trafford,Male,2001-03,76.53658
Trafford,Female,2001-03,80.54094
Trafford,Male,2002-04,77.22448
Trafford,Female,2002-04,80.77823
Trafford,Male,2003-05,77.21018000000001
Trafford,Female,2003-05,81.03861
Trafford,Male,2004-06,77.67696
Trafford,Female,2004-06,81.38681
Trafford,Male,2005-07,77.74243
Trafford,Female,2005-07,81.95842999999999
Trafford,Male,2006-08,78.15696
Trafford,Female,2006-08,82.38802999999999
Trafford,Male,2007-09,78.57601
Trafford,Female,2007-09,82.86006
Trafford,Male,2008-10,78.87243999999998
Trafford,Female,2008-10,82.90295
Trafford,Male,2009-11,79.38136
Trafford,Female,2009-11,83.13530999999999
Trafford,Male,2010-12,79.48747
Trafford,Female,2010-12,83.42301
Trafford,Male,2011-13,79.696
Trafford,Female,2011-13,83.30776
Trafford,Male,2012-14,79.77573999999998
Trafford,Female,2012-14,83.51145000000001
Trafford,Male,2013-15,79.88986
Trafford,Female,2013-15,83.45176000000001
Trafford,Male,2014-16,80.02542999999999
Trafford,Female,2014-16,83.74114000000002
