area_code,area_name,15-64,65+,ratio
E05000830,Hale Barns,5628,2466,44
E05000821,Bowdon,5458,2328,43
E05000828,Flixton,6634,2366,36
E05000827,Davyhulme West,6171,2135,35
E05000820,Ashton upon Mersey,6191,1965,32
E05000826,Davyhulme East,6070,1942,32
E05000837,Timperley,6860,2220,32
E05000839,Village,6640,2105,32
E05000823,Brooklands,6498,2033,31
E05000838,Urmston,7337,2162,29
E05000834,St Mary's,7525,2134,28
E05000835,Sale Moor,6751,1877,28
E05000819,Altrincham,8017,1959,24
E05000824,Bucklow-St Martins,6455,1532,24
E05000831,Hale Central,6857,1602,23
E05000836,Stretford,7485,1705,23
E05000822,Broadheath,8893,1950,22
E05000833,Priory,7689,1669,22
E05000832,Longford,8099,1682,21
E05000829,Gorse Hill,8337,1350,16
E05000825,Clifford,8303,1125,14
