area_code,area_name,area_abbr,median_age
E05000819,Altrincham,ALT,37
E05000820,Ashton upon Mersey,AOM,41
E05000821,Bowdon,BOW,46
E05000822,Broadheath,BRD,37
E05000823,Brooklands,BRK,41
E05000824,Bucklow-St Martins,BSM,35
E05000825,Clifford,CLF,32
E05000826,Davyhulme East,DVE,42
E05000827,Davyhulme West,DVW,44
E05000828,Flixton,FLX,44
E05000829,Gorse Hill,GOH,34
E05000830,Hale Barns,HBN,45
E05000831,Hale Central,HCT,40
E05000832,Longford,LFD,35
E05000833,Priory,PRI,37
E05000834,St Mary's,STM,41
E05000835,Sale Moor,SLM,38
E05000836,Stretford,STR,37
E05000837,Timperley,TMP,42
E05000838,Urmston,URM,41
E05000839,Village,VLG,41
