geography,period,area_code,area_name,language,n
Ward,2011,E05000820,Ashton upon Mersey,Scots,0
Ward,2011,E05000820,Ashton upon Mersey,Gypsy/Traveller languages,0
Ward,2011,E05000820,Ashton upon Mersey,French,14
Ward,2011,E05000820,Ashton upon Mersey,Portuguese,2
Ward,2011,E05000820,Ashton upon Mersey,Spanish,11
Ward,2011,E05000820,Ashton upon Mersey,Italian,5
Ward,2011,E05000820,Ashton upon Mersey,German,8
Ward,2011,E05000820,Ashton upon Mersey,Polish,45
Ward,2011,E05000820,Ashton upon Mersey,Slovak,10
Ward,2011,E05000820,Ashton upon Mersey,Czech,4
Ward,2011,E05000820,Ashton upon Mersey,Romanian,2
Ward,2011,E05000820,Ashton upon Mersey,Lithuanian,1
Ward,2011,E05000820,Ashton upon Mersey,Latvian,0
Ward,2011,E05000820,Ashton upon Mersey,Hungarian,6
Ward,2011,E05000820,Ashton upon Mersey,Bulgarian,1
Ward,2011,E05000820,Ashton upon Mersey,Greek,3
Ward,2011,E05000820,Ashton upon Mersey,Dutch,2
Ward,2011,E05000820,Ashton upon Mersey,Swedish,3
Ward,2011,E05000820,Ashton upon Mersey,Danish,0
Ward,2011,E05000820,Ashton upon Mersey,Finnish,2
Ward,2011,E05000820,Ashton upon Mersey,Estonian,1
Ward,2011,E05000820,Ashton upon Mersey,Slovenian,0
Ward,2011,E05000820,Ashton upon Mersey,Maltese,0
Ward,2011,E05000820,Ashton upon Mersey,Any other European Language (EU),0
Ward,2011,E05000820,Ashton upon Mersey,Albanian,0
Ward,2011,E05000820,Ashton upon Mersey,Serbian/Croatian/Bosnian,1
Ward,2011,E05000820,Ashton upon Mersey,Ukrainian,0
Ward,2011,E05000820,Ashton upon Mersey,Any other Eastern European Language (non EU),0
Ward,2011,E05000820,Ashton upon Mersey,Northern European Language (non EU),0
Ward,2011,E05000820,Ashton upon Mersey,Romani language (any),0
Ward,2011,E05000820,Ashton upon Mersey,Yiddish,0
Ward,2011,E05000820,Ashton upon Mersey,Russian,3
Ward,2011,E05000820,Ashton upon Mersey,Turkish,0
Ward,2011,E05000820,Ashton upon Mersey,Arabic,15
Ward,2011,E05000820,Ashton upon Mersey,Hebrew,0
Ward,2011,E05000820,Ashton upon Mersey,Kurdish,6
Ward,2011,E05000820,Ashton upon Mersey,Persian/Farsi,18
Ward,2011,E05000820,Ashton upon Mersey,Pashto,2
Ward,2011,E05000820,Ashton upon Mersey,West/Central Asian Language (all other),2
Ward,2011,E05000820,Ashton upon Mersey,Urdu,12
Ward,2011,E05000820,Ashton upon Mersey,Hindi,4
Ward,2011,E05000820,Ashton upon Mersey,Panjabi,11
Ward,2011,E05000820,Ashton upon Mersey,Pakistani Pahari (with Mirpuri and Potwari),0
Ward,2011,E05000820,Ashton upon Mersey,Bengali (with Sylheti and Chatgaya),2
Ward,2011,E05000820,Ashton upon Mersey,Gujarati,5
Ward,2011,E05000820,Ashton upon Mersey,Marathi,0
Ward,2011,E05000820,Ashton upon Mersey,Telugu,0
Ward,2011,E05000820,Ashton upon Mersey,Tamil,3
Ward,2011,E05000820,Ashton upon Mersey,Malayalam,0
Ward,2011,E05000820,Ashton upon Mersey,Sinhala,0
Ward,2011,E05000820,Ashton upon Mersey,Nepalese,0
Ward,2011,E05000820,Ashton upon Mersey,South Asian Language (all other),1
Ward,2011,E05000820,Ashton upon Mersey,Mandarin Chinese,2
Ward,2011,E05000820,Ashton upon Mersey,Cantonese Chinese,8
Ward,2011,E05000820,Ashton upon Mersey,All other Chinese,26
Ward,2011,E05000820,Ashton upon Mersey,Japanese,1
Ward,2011,E05000820,Ashton upon Mersey,Korean,3
Ward,2011,E05000820,Ashton upon Mersey,Vietnamese,0
Ward,2011,E05000820,Ashton upon Mersey,Thai,4
Ward,2011,E05000820,Ashton upon Mersey,Malay,2
Ward,2011,E05000820,Ashton upon Mersey,Tagalog/Filipino,1
Ward,2011,E05000820,Ashton upon Mersey,East Asian Language (all other),0
Ward,2011,E05000820,Ashton upon Mersey,Oceanic/Australian language (any),0
Ward,2011,E05000820,Ashton upon Mersey,North/South American language (any),0
Ward,2011,E05000820,Ashton upon Mersey,Caribbean Creole (English-based),0
Ward,2011,E05000820,Ashton upon Mersey,Caribbean Creole (all other),0
Ward,2011,E05000820,Ashton upon Mersey,Amharic,0
Ward,2011,E05000820,Ashton upon Mersey,Tigrinya,0
Ward,2011,E05000820,Ashton upon Mersey,Somali,0
Ward,2011,E05000820,Ashton upon Mersey,Krio,0
Ward,2011,E05000820,Ashton upon Mersey,Akan,0
Ward,2011,E05000820,Ashton upon Mersey,Yoruba,0
Ward,2011,E05000820,Ashton upon Mersey,Igbo,0
Ward,2011,E05000820,Ashton upon Mersey,Swahili/Kiswahili,1
Ward,2011,E05000820,Ashton upon Mersey,Luganda,0
Ward,2011,E05000820,Ashton upon Mersey,Lingala,0
Ward,2011,E05000820,Ashton upon Mersey,Shona,0
Ward,2011,E05000820,Ashton upon Mersey,Afrikaans,0
Ward,2011,E05000820,Ashton upon Mersey,Any other Nigerian language,0
Ward,2011,E05000820,Ashton upon Mersey,West African language (all other),3
