geography,period,area_code,area_name,gender,age,n
Ward,2016,E05000837,Timperley,Total,2,142
Ward,2016,E05000838,Urmston,Total,2,140
Ward,2016,E05000839,Village,Total,2,138
Ward,2016,E05000819,Altrincham,Female,2,90
Ward,2016,E05000820,Ashton upon Mersey,Female,2,54
Ward,2016,E05000821,Bowdon,Female,2,41
Ward,2016,E05000822,Broadheath,Female,2,114
Ward,2016,E05000823,Brooklands,Female,2,65
Ward,2016,E05000824,Bucklow-St Martins,Female,2,97
Ward,2016,E05000825,Clifford,Female,2,97
Ward,2016,E05000826,Davyhulme East,Female,2,50
Ward,2016,E05000827,Davyhulme West,Female,2,41
Ward,2016,E05000828,Flixton,Female,2,49
Ward,2016,E05000829,Gorse Hill,Female,2,105
Ward,2016,E05000830,Hale Barns,Female,2,56
Ward,2016,E05000831,Hale Central,Female,2,59
Ward,2016,E05000832,Longford,Female,2,94
Ward,2016,E05000833,Priory,Female,2,69
Ward,2016,E05000834,St Mary's,Female,2,69
Ward,2016,E05000835,Sale Moor,Female,2,77
Ward,2016,E05000836,Stretford,Female,2,82
Ward,2016,E05000837,Timperley,Female,2,75
Ward,2016,E05000838,Urmston,Female,2,69
Ward,2016,E05000839,Village,Female,2,66
Ward,2016,E05000819,Altrincham,Male,2,87
Ward,2016,E05000820,Ashton upon Mersey,Male,2,68
Ward,2016,E05000821,Bowdon,Male,2,46
Ward,2016,E05000822,Broadheath,Male,2,101
Ward,2016,E05000823,Brooklands,Male,2,85
Ward,2016,E05000824,Bucklow-St Martins,Male,2,74
Ward,2016,E05000825,Clifford,Male,2,95
Ward,2016,E05000826,Davyhulme East,Male,2,63
Ward,2016,E05000827,Davyhulme West,Male,2,51
Ward,2016,E05000828,Flixton,Male,2,63
Ward,2016,E05000829,Gorse Hill,Male,2,86
Ward,2016,E05000830,Hale Barns,Male,2,57
Ward,2016,E05000831,Hale Central,Male,2,74
Ward,2016,E05000832,Longford,Male,2,94
Ward,2016,E05000833,Priory,Male,2,80
Ward,2016,E05000834,St Mary's,Male,2,75
Ward,2016,E05000835,Sale Moor,Male,2,78
Ward,2016,E05000836,Stretford,Male,2,67
Ward,2016,E05000837,Timperley,Male,2,67
Ward,2016,E05000838,Urmston,Male,2,71
Ward,2016,E05000839,Village,Male,2,72
Ward,2016,E05000819,Altrincham,Total,3,198
Ward,2016,E05000820,Ashton upon Mersey,Total,3,125
Ward,2016,E05000821,Bowdon,Total,3,83
Ward,2016,E05000822,Broadheath,Total,3,202
Ward,2016,E05000823,Brooklands,Total,3,138
Ward,2016,E05000824,Bucklow-St Martins,Total,3,162
Ward,2016,E05000825,Clifford,Total,3,183
Ward,2016,E05000826,Davyhulme East,Total,3,121
Ward,2016,E05000827,Davyhulme West,Total,3,108
Ward,2016,E05000828,Flixton,Total,3,101
Ward,2016,E05000829,Gorse Hill,Total,3,196
Ward,2016,E05000830,Hale Barns,Total,3,116
Ward,2016,E05000831,Hale Central,Total,3,139
Ward,2016,E05000832,Longford,Total,3,155
Ward,2016,E05000833,Priory,Total,3,164
Ward,2016,E05000834,St Mary's,Total,3,100
Ward,2016,E05000835,Sale Moor,Total,3,143
Ward,2016,E05000836,Stretford,Total,3,136
Ward,2016,E05000837,Timperley,Total,3,149
Ward,2016,E05000838,Urmston,Total,3,124
Ward,2016,E05000839,Village,Total,3,112
Ward,2016,E05000819,Altrincham,Female,3,98
Ward,2016,E05000820,Ashton upon Mersey,Female,3,57
Ward,2016,E05000821,Bowdon,Female,3,38
Ward,2016,E05000822,Broadheath,Female,3,98
Ward,2016,E05000823,Brooklands,Female,3,68
Ward,2016,E05000824,Bucklow-St Martins,Female,3,76
Ward,2016,E05000825,Clifford,Female,3,88
Ward,2016,E05000826,Davyhulme East,Female,3,54
Ward,2016,E05000827,Davyhulme West,Female,3,54
Ward,2016,E05000828,Flixton,Female,3,57
Ward,2016,E05000829,Gorse Hill,Female,3,88
Ward,2016,E05000830,Hale Barns,Female,3,61
Ward,2016,E05000831,Hale Central,Female,3,67
Ward,2016,E05000832,Longford,Female,3,69
Ward,2016,E05000833,Priory,Female,3,78
Ward,2016,E05000834,St Mary's,Female,3,54
Ward,2016,E05000835,Sale Moor,Female,3,76
Ward,2016,E05000836,Stretford,Female,3,59
Ward,2016,E05000837,Timperley,Female,3,74
Ward,2016,E05000838,Urmston,Female,3,61
Ward,2016,E05000839,Village,Female,3,57
Ward,2016,E05000819,Altrincham,Male,3,100
Ward,2016,E05000820,Ashton upon Mersey,Male,3,68
Ward,2016,E05000821,Bowdon,Male,3,45
Ward,2016,E05000822,Broadheath,Male,3,104
Ward,2016,E05000823,Brooklands,Male,3,70
Ward,2016,E05000824,Bucklow-St Martins,Male,3,86
Ward,2016,E05000825,Clifford,Male,3,95
Ward,2016,E05000826,Davyhulme East,Male,3,67
Ward,2016,E05000827,Davyhulme West,Male,3,54
Ward,2016,E05000828,Flixton,Male,3,44
Ward,2016,E05000829,Gorse Hill,Male,3,108
Ward,2016,E05000830,Hale Barns,Male,3,55
Ward,2016,E05000831,Hale Central,Male,3,72
Ward,2016,E05000832,Longford,Male,3,86
Ward,2016,E05000833,Priory,Male,3,86
Ward,2016,E05000834,St Mary's,Male,3,46
Ward,2016,E05000835,Sale Moor,Male,3,67
Ward,2016,E05000836,Stretford,Male,3,77
Ward,2016,E05000837,Timperley,Male,3,75
Ward,2016,E05000838,Urmston,Male,3,63
Ward,2016,E05000839,Village,Male,3,55
Ward,2016,E05000819,Altrincham,Total,4,192
Ward,2016,E05000820,Ashton upon Mersey,Total,4,140
Ward,2016,E05000821,Bowdon,Total,4,110
Ward,2016,E05000822,Broadheath,Total,4,219
Ward,2016,E05000823,Brooklands,Total,4,170
Ward,2016,E05000824,Bucklow-St Martins,Total,4,173
Ward,2016,E05000825,Clifford,Total,4,192
Ward,2016,E05000826,Davyhulme East,Total,4,107
Ward,2016,E05000827,Davyhulme West,Total,4,115
Ward,2016,E05000828,Flixton,Total,4,115
Ward,2016,E05000829,Gorse Hill,Total,4,215
Ward,2016,E05000830,Hale Barns,Total,4,124
Ward,2016,E05000831,Hale Central,Total,4,154
Ward,2016,E05000832,Longford,Total,4,161
Ward,2016,E05000833,Priory,Total,4,173
Ward,2016,E05000834,St Mary's,Total,4,157
Ward,2016,E05000835,Sale Moor,Total,4,144
Ward,2016,E05000836,Stretford,Total,4,178
Ward,2016,E05000837,Timperley,Total,4,159
Ward,2016,E05000838,Urmston,Total,4,151
Ward,2016,E05000839,Village,Total,4,141
Ward,2016,E05000819,Altrincham,Female,4,92
Ward,2016,E05000820,Ashton upon Mersey,Female,4,60
Ward,2016,E05000821,Bowdon,Female,4,48
Ward,2016,E05000822,Broadheath,Female,4,109
Ward,2016,E05000823,Brooklands,Female,4,83
Ward,2016,E05000824,Bucklow-St Martins,Female,4,80
Ward,2016,E05000825,Clifford,Female,4,87
Ward,2016,E05000826,Davyhulme East,Female,4,56
Ward,2016,E05000827,Davyhulme West,Female,4,49
Ward,2016,E05000828,Flixton,Female,4,50
Ward,2016,E05000829,Gorse Hill,Female,4,101
Ward,2016,E05000830,Hale Barns,Female,4,65
Ward,2016,E05000831,Hale Central,Female,4,71
Ward,2016,E05000832,Longford,Female,4,74
Ward,2016,E05000833,Priory,Female,4,90
Ward,2016,E05000834,St Mary's,Female,4,80
Ward,2016,E05000835,Sale Moor,Female,4,65
