month,category,area_code,area_name,n,percent
2017-11-01,Bicycle theft,E05000819,Altrincham,10,7
2017-11-01,Bicycle theft,E05000827,Davyhulme West,2,5
2017-11-01,Bicycle theft,E05000837,Timperley,1,4
2017-11-01,Bicycle theft,E05000833,Priory,3,3
2017-11-01,Bicycle theft,E05000820,Ashton upon Mersey,2,3
2017-11-01,Bicycle theft,E05000821,Bowdon,1,3
2017-11-01,Bicycle theft,E05000828,Flixton,1,3
2017-11-01,Bicycle theft,E05000824,Bucklow-St Martins,2,2
2017-11-01,Bicycle theft,E05000832,Longford,2,2
2017-11-01,Bicycle theft,E05000836,Stretford,2,2
2017-11-01,Bicycle theft,E05000834,St Mary's,1,2
2017-11-01,Bicycle theft,E05000838,Urmston,1,2
2017-11-01,Bicycle theft,E05000826,Davyhulme East,2,1
2017-11-01,Bicycle theft,E05000822,Broadheath,1,1
2017-11-01,Bicycle theft,E05000825,Clifford,1,1
2017-11-01,Bicycle theft,E05000829,Gorse Hill,1,1
2017-11-01,Bicycle theft,E08000009,Trafford,33,2
2017-11-01,Bicycle theft,E47000001,Greater Manchester,356,1
